id,nombre,tipo,calificacion_avg,popularidad_actual
L1,Museo del Oro,Museo,4.8,950
L2,La Candelaria,Barrio Histórico,4.5,870
L3,El Poblado,Barrio,4.6,920
L4,Museo de Antioquia,Museo,4.7,800
L5,Plaza de la Aduana,Plaza,4.3,750
L6,Castillo San Felipe,Fortaleza,4.9,980
L7,Jardín Botánico Bogotá,Parque,4.4,810
L8,Cerro Monserrate,Mirador,4.6,890
L9,Mercado de Bazurto,Mercado,4.1,700
L10,Barrio Getsemaní,Barrio,4.5,830
L11,Parque Arví,Parque,4.7,860
L12,Centro Histórico Popayán,Barrio Histórico,4.6,780
L13,Zoológico de Cali,Zoológico,4.5,820
L14,Cerro de las Tres Cruces,Mirador,4.3,690
L15,La Vorágine Restaurante,Restaurante,4.8,910
L16,Parque Simón Bolívar,Parque,4.2,760
L17,Museo La Tertulia,Museo,4.4,710
L18,Teatro Colón,Teatro,4.7,850
L19,Parque del Café,Parque Temático,4.6,870
L20,Santuario Las Lajas,Iglesia,4.9,990
