lugar_id,interes_id,relevancia
L1,I9,Alta
L1,I4,Alta
L2,I9,Alta
L2,I5,Media
L3,I12,Alta
L3,I2,Media
L4,I4,Alta
L4,I5,Alta
L5,I9,Alta
L5,I5,Media
L6,I9,Alta
L6,I8,Alta
L7,I6,Alta
L7,I3,Media
L8,I8,Alta
L8,I3,Media
L9,I2,Alta
L9,I15,Alta
L10,I5,Alta
L10,I12,Media
L11,I6,Alta
L11,I1,Alta
L12,I9,Alta
L12,I5,Alta
L13,I6,Alta
L13,I8,Media
L14,I1,Alta
L14,I7,Alta
L15,I2,Alta
L15,I15,Alta
L16,I7,Alta
L16,I6,Media
L17,I4,Alta
L17,I5,Media
L18,I4,Alta
L18,I10,Alta
L19,I1,Alta
L19,I6,Alta
L20,I9,Alta
L20,I5,Media
