usuario_id,lugar_id,fecha,puntuacion,es_favorito
U1,L1,2024-03-15,5,true
U1,L2,2024-03-16,4,false
U1,L7,2024-06-20,5,true
U2,L11,2024-05-10,5,true
U2,L8,2024-05-11,4,false
U3,L13,2024-04-05,4,true
U3,L17,2024-04-06,5,true
U4,L14,2024-07-01,4,false
U4,L16,2024-07-02,3,false
U5,L15,2024-08-20,5,true
U5,L9,2024-08-21,4,false
U6,L4,2024-09-10,5,true
U6,L18,2024-09-11,5,true
U7,L1,2024-10-05,5,true
U7,L15,2024-10-06,5,true
U8,L11,2024-11-01,4,false
U9,L17,2024-02-14,5,true
U9,L4,2024-02-15,4,false
U10,L19,2024-03-22,5,true
U11,L6,2024-04-18,5,true
U11,L10,2024-04-19,4,true
U12,L18,2024-05-30,5,true
U12,L2,2024-05-31,4,false
U13,L14,2024-06-15,4,false
U14,L20,2024-07-25,5,true
U15,L15,2024-08-05,5,true
U15,L3,2024-08-06,4,false
U16,L12,2024-09-20,4,true
U17,L1,2024-10-12,5,true
U17,L4,2024-10-13,5,true
