usuario_id,alojamiento_id,noches,motivo,mes_viaje
U1,A1,3,Placer,Marzo
U2,A4,5,Placer,Mayo
U3,A13,4,Placer,Abril
U4,A2,2,Placer,Julio
U5,A9,6,Placer,Agosto
U6,A5,3,Negocios,Septiembre
U7,A16,7,Placer,Octubre
U8,A2,1,Placer,Noviembre
U9,A8,3,Negocios,Febrero
U10,A4,4,Placer,Marzo
U11,A6,5,Placer,Abril
U12,A11,3,Negocios,Mayo
U13,A15,2,Placer,Junio
U14,A10,3,Placer,Julio
U15,A5,4,Placer,Agosto
U16,A14,2,Negocios,Septiembre
U17,A1,5,Placer,Octubre
U18,A12,3,Placer,Noviembre
U1,A9,4,Placer,Diciembre
U7,A3,3,Negocios,Enero
