lugar_id,ciudad_id,barrio,lat,lon
L1,C1,La Candelaria,4.598,-74.071
L2,C1,La Candelaria,4.597,-74.074
L3,C2,El Poblado,6.208,-75.569
L4,C2,El Centro,6.254,-75.564
L5,C4,El Centro,10.424,-75.551
L6,C4,San Felipe,10.388,-75.528
L7,C1,Engativá,4.667,-74.092
L8,C1,Santa Fe,4.543,-74.056
L9,C4,Bazurto,10.418,-75.537
L10,C4,Getsemaní,10.421,-75.554
L11,C2,Santa Elena,6.268,-75.509
L12,C10,El Centro,2.441,-76.608
L13,C3,El Cañaveralejo,3.438,-76.541
L14,C3,Los Cristales,3.412,-76.518
L15,C2,El Poblado,6.211,-75.567
L16,C1,Teusaquillo,4.658,-74.093
L17,C3,San Fernando,3.439,-76.528
L18,C1,La Candelaria,4.596,-74.073
L19,C14,Montenegro,4.559,-75.787
L20,C11,Ipiales,0.810,-77.634
